Category,Test Name,Query,Search Type,Expected Classes,Found Classes,Top Results,Status,Score
Happy Path,Find the player name,Find the player name,BM25,http://visualdataweb.org/newOntology/Player,http://visualdataweb.org/newOntology/Player,http://visualdataweb.org/newOntology/Player,PASS,1.00
Happy Path,Find the player name,Find the player name,Semantic,http://visualdataweb.org/newOntology/Player,http://visualdataweb.org/newOntology/Player,http://visualdataweb.org/newOntology/Player,PASS,1.00
Happy Path,List all teams,List all teams in the dataset,BM25,http://visualdataweb.org/newOntology/Team,,http://visualdataweb.org/newOntology/League; http://visualdataweb.org/newOntology/Coach; http://visualdataweb.org/newOntology/Tournament,FAIL,0.00
Happy Path,List all teams,List all teams in the dataset,Semantic,http://visualdataweb.org/newOntology/Team,,,FAIL,0.00
Happy Path,Show stadium details,Show me the stadium details,BM25,http://visualdataweb.org/newOntology/Stadium,http://visualdataweb.org/newOntology/Stadium,http://visualdataweb.org/newOntology/Stadium,PASS,1.00
Happy Path,Show stadium details,Show me the stadium details,Semantic,http://visualdataweb.org/newOntology/Stadium,http://visualdataweb.org/newOntology/Stadium,http://visualdataweb.org/newOntology/Stadium,PASS,1.00
Happy Path,Who is the referee,Who is the referee?,BM25,http://visualdataweb.org/newOntology/Referee,http://visualdataweb.org/newOntology/Referee,http://visualdataweb.org/newOntology/Referee,PASS,1.00
Happy Path,Who is the referee,Who is the referee?,Semantic,http://visualdataweb.org/newOntology/Referee,http://visualdataweb.org/newOntology/Referee,http://visualdataweb.org/newOntology/Referee; http://visualdataweb.org/newOntology/Match,PASS,1.00
Happy Path,What awards did he win,What awards did he win?,BM25,http://visualdataweb.org/newOntology/Award,,,FAIL,0.00
Happy Path,What awards did he win,What awards did he win?,Semantic,http://visualdataweb.org/newOntology/Award,http://visualdataweb.org/newOntology/Award,http://visualdataweb.org/newOntology/Award; http://visualdataweb.org/newOntology/Trophy; http://visualdataweb.org/newOntology/Match,PASS,1.00
Synonym Test,Manager synonym for coach,Who is the manager of this club?,Semantic,http://visualdataweb.org/newOntology/Coach,http://visualdataweb.org/newOntology/Coach,http://visualdataweb.org/newOntology/Coach; http://visualdataweb.org/newOntology/Team; http://visualdataweb.org/newOntology/Stadium,PASS,1.00
Synonym Test,Arena synonym for stadium,What is the capacity of the arena?,Semantic,http://visualdataweb.org/newOntology/Stadium,http://visualdataweb.org/newOntology/Stadium,http://visualdataweb.org/newOntology/Stadium,PASS,1.00
Synonym Test,Officiated synonym for referee,Who officiated the game?,Semantic,http://visualdataweb.org/newOntology/Referee,http://visualdataweb.org/newOntology/Referee,http://visualdataweb.org/newOntology/Match; http://visualdataweb.org/newOntology/PerformanceStats; http://visualdataweb.org/newOntology/Referee,PASS,1.00
Synonym Test,Club synonym for team,Which club plays here?,Semantic,http://visualdataweb.org/newOntology/Team,http://visualdataweb.org/newOntology/Team,http://visualdataweb.org/newOntology/Player; http://visualdataweb.org/newOntology/Team; http://visualdataweb.org/newOntology/League,PASS,1.00
Synonym Test,Red card in performance stats,Did he get a red card?,Semantic,http://visualdataweb.org/newOntology/PerformanceStats,,,FAIL,0.00
Property-Implied,Goals property implies PerformanceStats,How many goals did he score?,BM25,http://visualdataweb.org/newOntology/PerformanceStats,http://visualdataweb.org/newOntology/PerformanceStats,http://visualdataweb.org/newOntology/PerformanceStats; http://visualdataweb.org/newOntology/Match,PASS,1.00
Property-Implied,Goals property implies PerformanceStats,How many goals did he score?,Semantic,http://visualdataweb.org/newOntology/PerformanceStats,http://visualdataweb.org/newOntology/PerformanceStats,http://visualdataweb.org/newOntology/PerformanceStats; http://visualdataweb.org/newOntology/Match; http://visualdataweb.org/newOntology/League,PASS,1.00
Property-Implied,Formation property implies Team,What formation do they play?,BM25,http://visualdataweb.org/newOntology/Team,http://visualdataweb.org/newOntology/Team,http://visualdataweb.org/newOntology/Coach; http://visualdataweb.org/newOntology/Team,PASS,1.00
Property-Implied,Formation property implies Team,What formation do they play?,Semantic,http://visualdataweb.org/newOntology/Team,,,FAIL,0.00
Property-Implied,Kickoff/Date implies Match,When was the kickoff?,BM25,http://visualdataweb.org/newOntology/Match,,,FAIL,0.00
Property-Implied,Kickoff/Date implies Match,When was the kickoff?,Semantic,http://visualdataweb.org/newOntology/Match,http://visualdataweb.org/newOntology/Match,http://visualdataweb.org/newOntology/PerformanceStats; http://visualdataweb.org/newOntology/Match; http://visualdataweb.org/newOntology/KnockOutTournament,PASS,1.00
Property-Implied,Trophy associated league,Which league is this trophy associated with?,BM25,http://visualdataweb.org/newOntology/Trophy,http://visualdataweb.org/newOntology/Trophy,http://visualdataweb.org/newOntology/Trophy; http://visualdataweb.org/newOntology/League,PASS,1.00
Property-Implied,Trophy associated league,Which league is this trophy associated with?,Semantic,http://visualdataweb.org/newOntology/Trophy,http://visualdataweb.org/newOntology/Trophy,http://visualdataweb.org/newOntology/Trophy; http://visualdataweb.org/newOntology/League; http://visualdataweb.org/newOntology/Team,PASS,1.00
Property-Implied,Height property implies Player,How tall is he?,BM25,http://visualdataweb.org/newOntology/Player,,,FAIL,0.00
Property-Implied,Height property implies Player,How tall is he?,Semantic,http://visualdataweb.org/newOntology/Player,,,FAIL,0.00
Ambiguity Test,Real Madrid vs Barcelona,Real Madrid vs Barcelona,BM25,http://visualdataweb.org/newOntology/Match; http://visualdataweb.org/newOntology/Team,,,FAIL,0.00
Ambiguity Test,Real Madrid vs Barcelona,Real Madrid vs Barcelona,Semantic,http://visualdataweb.org/newOntology/Match; http://visualdataweb.org/newOntology/Team,http://visualdataweb.org/newOntology/Match,http://visualdataweb.org/newOntology/Match; http://visualdataweb.org/newOntology/League; http://visualdataweb.org/newOntology/Stadium,FAIL,0.50
Ambiguity Test,Champion,Champion,BM25,http://visualdataweb.org/newOntology/League; http://visualdataweb.org/newOntology/Tournament,http://visualdataweb.org/newOntology/League; http://visualdataweb.org/newOntology/Tournament,http://visualdataweb.org/newOntology/League; http://visualdataweb.org/newOntology/Tournament,PASS,1.00
Ambiguity Test,Champion,Champion,Semantic,http://visualdataweb.org/newOntology/League; http://visualdataweb.org/newOntology/Tournament,http://visualdataweb.org/newOntology/League; http://visualdataweb.org/newOntology/Tournament,http://visualdataweb.org/newOntology/Tournament; http://visualdataweb.org/newOntology/Trophy; http://visualdataweb.org/newOntology/KnockOutTournament,PASS,1.00
Ambiguity Test,Yellow Card,Yellow Card,BM25,http://visualdataweb.org/newOntology/PerformanceStats; http://visualdataweb.org/newOntology/Referee,http://visualdataweb.org/newOntology/PerformanceStats,http://visualdataweb.org/newOntology/PerformanceStats,FAIL,0.50
Ambiguity Test,Yellow Card,Yellow Card,Semantic,http://visualdataweb.org/newOntology/PerformanceStats; http://visualdataweb.org/newOntology/Referee,http://visualdataweb.org/newOntology/PerformanceStats,http://visualdataweb.org/newOntology/PerformanceStats,FAIL,0.50
Ambiguity Test,Winner,Winner,BM25,http://visualdataweb.org/newOntology/Match; http://visualdataweb.org/newOntology/Trophy,http://visualdataweb.org/newOntology/Match; http://visualdataweb.org/newOntology/Trophy,http://visualdataweb.org/newOntology/Trophy; http://visualdataweb.org/newOntology/Match,PASS,1.00
Ambiguity Test,Winner,Winner,Semantic,http://visualdataweb.org/newOntology/Match; http://visualdataweb.org/newOntology/Trophy,http://visualdataweb.org/newOntology/Match; http://visualdataweb.org/newOntology/Trophy,http://visualdataweb.org/newOntology/Trophy; http://visualdataweb.org/newOntology/Award; http://visualdataweb.org/newOntology/Match,PASS,1.00
Context Window,Ronaldo plays for Al-Nassr,Ronaldo plays for Al-Nassr.,BM25,http://visualdataweb.org/newOntology/Player; http://visualdataweb.org/newOntology/Team,http://visualdataweb.org/newOntology/Player; http://visualdataweb.org/newOntology/Team,http://visualdataweb.org/newOntology/Player; http://visualdataweb.org/newOntology/Team,PASS,1.00
Context Window,Ronaldo plays for Al-Nassr,Ronaldo plays for Al-Nassr.,Semantic,http://visualdataweb.org/newOntology/Player; http://visualdataweb.org/newOntology/Team,http://visualdataweb.org/newOntology/Player; http://visualdataweb.org/newOntology/Team,http://visualdataweb.org/newOntology/Team; http://visualdataweb.org/newOntology/League; http://visualdataweb.org/newOntology/Player,PASS,1.00
Context Window,Match at Allianz Arena,The match at Allianz Arena ended 2-0.,BM25,http://visualdataweb.org/newOntology/Match; http://visualdataweb.org/newOntology/Stadium,http://visualdataweb.org/newOntology/Match,http://visualdataweb.org/newOntology/Match,FAIL,0.50
Context Window,Match at Allianz Arena,The match at Allianz Arena ended 2-0.,Semantic,http://visualdataweb.org/newOntology/Match; http://visualdataweb.org/newOntology/Stadium,http://visualdataweb.org/newOntology/Match; http://visualdataweb.org/newOntology/Stadium,http://visualdataweb.org/newOntology/KnockOutTournament; http://visualdataweb.org/newOntology/Match; http://visualdataweb.org/newOntology/Stadium,PASS,1.00
Context Window,Messi won Ballon d'Or,Messi won the Ballon d'Or in 2023.,BM25,http://visualdataweb.org/newOntology/Player; http://visualdataweb.org/newOntology/Award,http://visualdataweb.org/newOntology/Award,http://visualdataweb.org/newOntology/Trophy; http://visualdataweb.org/newOntology/Award,FAIL,0.50
Context Window,Messi won Ballon d'Or,Messi won the Ballon d'Or in 2023.,Semantic,http://visualdataweb.org/newOntology/Player; http://visualdataweb.org/newOntology/Award,http://visualdataweb.org/newOntology/Award,http://visualdataweb.org/newOntology/Trophy; http://visualdataweb.org/newOntology/Award; http://visualdataweb.org/newOntology/Tournament,FAIL,0.50
